Applicant_Gender,Total_Children,Total_Income,Education_Type,Family_Status,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Village
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Security staff                                    ,2,59,4,0,30,Ervideira (Arrifana)
F      ,0,270000,Secondary / secondary special                     ,Single / not married                              ,1,Sales staff                                       ,1,53,9,0,5,Lombada (São Miguel de Poiares)
F      ,0,270000,Secondary / secondary special                     ,Single / not married                              ,1,Sales staff                                       ,1,53,9,0,5,Cabeças (Poiares (Santo André))
F      ,0,270000,Secondary / secondary special                     ,Single / not married                              ,1,Sales staff                                       ,1,53,9,0,27,Ponte da Pedra (Poiares (Santo André))
F      ,0,270000,Secondary / secondary special                     ,Single / not married                              ,1,Sales staff                                       ,1,53,9,0,39,Crasto (Poiares (Santo André))
M      ,0,270000,Higher education                                  ,Married                                           ,1,Accountants                                       ,2,47,3,0,6,Póvoa (Poiares (Santo André))
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,4,0,8,São Miguel de Poiares (São Miguel de Poiares)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,4,0,9,Santa Maria (Arrifana)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,4,0,9,Mucela (Lavegadas)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,4,0,9,Olho Marinho (São Miguel de Poiares)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,4,0,5,Mucela (Lavegadas)
M      ,0,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,49,4,0,4,Venda Nova (São Miguel de Poiares)
F      ,0,130500,Incomplete higher                                 ,Married                                           ,0,Accountants                                       ,2,30,4,1,25,Vale de Vaz (Poiares (Santo André))
F      ,0,130500,Incomplete higher                                 ,Married                                           ,0,Accountants                                       ,2,30,4,7,23,Vila Chã (Poiares (Santo André))
F      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,28,5,2,30,Vale de Vaide (Poiares (Santo André))
F      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,28,5,2,18,Terreiros de Santo António (Arrifana)
F      ,0,157500,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,2,28,5,2,33,Lombada (São Miguel de Poiares)
M      ,3,270000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,5,35,4,0,17,Fonte da Telha (Arrifana)
M      ,3,270000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,5,35,4,0,17,Risca Silva (Poiares (Santo André))
M      ,1,405000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,33,6,0,31,Vila Nova de Poiares (Poiares (Santo André))
M      ,1,405000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,33,6,0,14,Pereiro de Baixo (Poiares (Santo André))
M      ,1,405000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,33,6,0,56,Barreiro (Lavegadas)
M      ,1,405000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,33,6,0,5,Soutelo (Arrifana)
M      ,1,405000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,33,6,0,9,Sabouga (Lavegadas)
M      ,1,405000,Higher education                                  ,Married                                           ,0,Managers                                          ,3,33,6,0,30,Ponte da Pedra (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,33,Catraia das Necessidades (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,12,Avessada (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,33,Couchel (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,12,Vale da Clara (Poiares (Santo André))
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,26,Casal do Gago (São Miguel de Poiares)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,12,Alveite Grande (São Miguel de Poiares)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,1,Alveite Pequeno (São Miguel de Poiares)
M      ,0,112500,Secondary / secondary special                     ,Married                                           ,0,Drivers                                           ,2,57,13,0,16,Cascalho (Poiares (Santo André))
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,2,Vilar (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,29,Vilar (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,4,Mucela (Lavegadas)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,28,Ervideira (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,11,Louredo (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,5,Outeiro do Crasto (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,4,Póvoa da Abraveia (Poiares (Santo André))
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,4,Vilar (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,3,Carvalho (Arrifana)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,2,Igreja Nova (Lavegadas)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,3,Vale de Viegas (Poiares (Santo André))
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,2,Cabeço de Celas (São Miguel de Poiares)
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,2,Vale de Viegas (Poiares (Santo André))
F      ,2,135000,Secondary / secondary special                     ,Married                                           ,0,Laborers                                          ,4,44,9,0,4,Sobreiro (Arrifana)
F      ,1,211500,Secondary / secondary special                     ,Civil marriage                                    ,0,Core staff                                        ,3,45,20,0,25,Lombada (São Miguel de Poiares)
F      ,1,211500,Secondary / secondary special                     ,Civil marriage                                    ,0,Core staff                                        ,3,45,20,0,12,Casais (Arrifana)
M      ,0,360000,Secondary / secondary special                     ,Married                                           ,0,Security staff                                    ,2,46,15,1,10,Vale de Afonso (Poiares (Santo André))
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,22,Vale da Clara (Poiares (Santo André))
F      ,2,126000,Higher education                                  ,Married                                           ,1,Managers                                          ,4,34,5,0,46,Casa Nova (Poiares (Santo André))
