Total_Children,Total_Income,Education_Type,Family_Status,Total_Family_Members,Applicant_Age,Years_of_Working,Village,Total_Bad_Debt,Total_Good_Debt,Owned_Email
0,112500,Secondary / secondary special                     ,Married                                           ,2,59,4,Ervideira (Arrifana),0,30,0
0,270000,Secondary / secondary special                     ,Single / not married                              ,1,53,9,Lombada (São Miguel de Poiares),0,5,1
0,270000,Secondary / secondary special                     ,Single / not married                              ,1,53,9,Cabeças (Poiares (Santo André)),0,5,1
0,270000,Secondary / secondary special                     ,Single / not married                              ,1,53,9,Ponte da Pedra (Poiares (Santo André)),0,27,1
0,270000,Secondary / secondary special                     ,Single / not married                              ,1,53,9,Crasto (Poiares (Santo André)),0,39,1
0,270000,Higher education                                  ,Married                                           ,2,47,3,Póvoa (Poiares (Santo André)),0,6,1
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,4,São Miguel de Poiares (São Miguel de Poiares),0,8,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,4,Santa Maria (Arrifana),0,9,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,4,Mucela (Lavegadas),0,9,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,4,Olho Marinho (São Miguel de Poiares),0,9,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,4,Mucela (Lavegadas),0,5,0
0,135000,Secondary / secondary special                     ,Married                                           ,2,49,4,Venda Nova (São Miguel de Poiares),0,4,0
0,130500,Incomplete higher                                 ,Married                                           ,2,30,4,Vale de Vaz (Poiares (Santo André)),1,25,0
0,130500,Incomplete higher                                 ,Married                                           ,2,30,4,Vila Chã (Poiares (Santo André)),7,23,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,28,5,Vale de Vaide (Poiares (Santo André)),2,30,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,28,5,Terreiros de Santo António (Arrifana),2,18,0
0,157500,Secondary / secondary special                     ,Married                                           ,2,28,5,Lombada (São Miguel de Poiares),2,33,0
3,270000,Secondary / secondary special                     ,Married                                           ,5,35,4,Fonte da Telha (Arrifana),0,17,0
